dip	123	dip@gmail.com	1
dip	123	dip@gmail.com	1
dip	123	dip@gmail.com	1
dip	123	dip@gmail.com	1
dip	2312312	12312312312	1
dip	2312312	12312312312	1
dip	2312312	12312312312	1
dip	2312312	12312312312	1
dip	1232131	21312312	1
dip	1232131	21312312	1
dip	1232131	21312312	1
dip	1323123	213123213	1
dip	1323123	213123213	1
dip	1323123	213123213	1
dip	2312312321	4231432141	1
dip	2312312321	4231432141	1
dip	2312312321	4231432141	1
dip			1
dip			1
dip			1
dip	2312312	3213213	1
dip	2312312	3213213	1
dip	2312312	3213213	1
dipon	123	asd	1
dipon	123	asd	1
dipon	123	asd	1
dipon	123	asd	1
a	a	a	1
a	a	a	1
a	a	a	1
a	a	a	1
